State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Total - Cases,Total - Injured,Total - Died,alcintake2016,overspeed2016,wrongside2016,lanejumping2016
,,,,Friday,22:25:00,Slight Injury,2,Automobile,4,,Raining,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Saturday,12:20:00,Slight Injury,2,Pick up upto 10Q,1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Saturday,12:20:00,Slight Injury,2,,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Saturday,17:44:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Saturday,18:20:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Saturday,18:20:00,Slight Injury,2,Public (13?45 seats),1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Saturday,22:25:00,Slight Injury,1,Lorry (11?40Q),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Sunday,0:40:00,Slight Injury,2,Stationwagen,2,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Sunday,0:40:00,Slight Injury,2,Ridden horse,2,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,23:56:00,Slight Injury,3,Stationwagen,4,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,23:56:00,Slight Injury,3,Automobile,4,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,23:56:00,Slight Injury,3,Automobile,4,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,23:56:00,Slight Injury,3,Other,4,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Thursday,7:45:00,Slight Injury,2,Taxi,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Thursday,7:45:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Friday,0:35:00,Slight Injury,2,Stationwagen,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Friday,0:35:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Unknown,,,,,,,,,,
,,,,Monday,19:30:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Monday,19:30:00,Slight Injury,2,,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Monday,14:24:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Monday,18:10:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Monday,18:10:00,Slight Injury,2,,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Friday,10:04:00,Slight Injury,2,Public (> 45 seats),3,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,10:04:00,Slight Injury,2,,3,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,10:04:00,Slight Injury,2,Public (12 seats),3,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,10:04:00,Slight Injury,2,Public (12 seats),3,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,14:18:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Tuesday,7:20:00,Serious Injury,1,,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Tuesday,23:40:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,20:14:00,Serious Injury,1,Lorry (41?100Q),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,19:33:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Wednesday,19:33:00,Slight Injury,2,Lorry (11?40Q),1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Wednesday,19:10:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Thursday,16:15:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,Unknown,Female,,,,,,,,,,
,,,,Thursday,19:26:00,Slight Injury,2,Automobile,1,,Normal,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Thursday,19:26:00,Slight Injury,2,Bajaj,1,,Normal,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Thursday,17:21:00,Slight Injury,2,Public (12 seats),1,,Raining,,Wet or damp,Darkness - lights lit,,,Under 18,Male,,,,,,,,,,
,,,,Thursday,17:21:00,Slight Injury,2,Lorry (11?40Q),1,,Raining,,Wet or damp,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Thursday,9:04:00,Slight Injury,1,,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Thursday,9:39:00,Slight Injury,1,,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,12:10:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Thursday,12:10:00,Slight Injury,2,Lorry (11?40Q),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Friday,4:54:00,Slight Injury,2,Lorry (41?100Q),1,,Raining,,Wet or damp,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Friday,4:54:00,Slight Injury,2,Pick up upto 10Q,1,,Raining,,Wet or damp,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Saturday,12:30:00,Slight Injury,2,Lorry (11?40Q),2,,Raining,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Saturday,12:30:00,Slight Injury,2,Stationwagen,2,,Raining,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Saturday,12:30:00,Slight Injury,2,Other,2,,Raining,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,11:50:00,Serious Injury,2,Other,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Friday,11:50:00,Serious Injury,2,Lorry (11?40Q),1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,15:19:00,Slight Injury,1,,2,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,15:19:00,Slight Injury,1,Automobile,2,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Saturday,1:58:00,Slight Injury,1,Lorry (41?100Q),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Friday,21:10:00,Slight Injury,1,Other,1,,Normal,,Dry,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Saturday,15:46:00,Slight Injury,2,Lorry (41?100Q),3,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Saturday,15:46:00,Slight Injury,2,Automobile,3,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Saturday,15:46:00,Slight Injury,2,Pick up upto 10Q,3,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Saturday,15:46:00,Slight Injury,2,Lorry (41?100Q),3,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Saturday,20:00:00,Slight Injury,2,Public (13?45 seats),1,,Normal,,Wet or damp,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Saturday,20:00:00,Slight Injury,2,Long lorry,1,,Normal,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,23:30:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Sunday,23:30:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Wednesday,8:00:00,Slight Injury,1,Other,1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Friday,17:30:00,Slight Injury,2,,1,,Normal,,Dry,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Friday,17:30:00,Slight Injury,2,Long lorry,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Monday,11:30:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Monday,11:30:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Monday,12:45:00,Slight Injury,2,Other,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Monday,12:45:00,Slight Injury,2,Other,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Monday,15:15:00,Slight Injury,1,Other,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Monday,18:50:00,Slight Injury,1,Public (12 seats),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Monday,23:20:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Monday,23:20:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Female,,,,,,,,,,
,,,,Monday,19:45:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Monday,19:45:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Friday,22:05:00,Slight Injury,2,Lorry (11?40Q),1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Friday,22:05:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,18:23:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,18:23:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Tuesday,7:20:00,Slight Injury,1,Pick up upto 10Q,1,,Normal,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Wednesday,7:21:00,Slight Injury,2,Automobile,1,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,7:21:00,Slight Injury,2,Other,1,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,9:43:00,Slight Injury,1,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Wednesday,9:54:00,Slight Injury,2,Public (13?45 seats),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,9:54:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Friday,10:15:00,Slight Injury,3,Pick up upto 10Q,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Friday,10:15:00,Slight Injury,3,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Friday,10:15:00,Slight Injury,3,Public (12 seats),1,,Normal,,Dry,Daylight,,,Unknown,Female,,,,,,,,,,
,,,,Wednesday,13:45:00,Serious Injury,1,Other,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Monday,8:45:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Monday,8:45:00,Slight Injury,2,Pick up upto 10Q,1,,Normal,,Wet or damp,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Friday,8:55:00,Slight Injury,1,Other,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,17:52:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Thursday,17:52:00,Slight Injury,2,Ridden horse,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Friday,14:20:00,Serious Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Friday,19:40:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Friday,19:40:00,Slight Injury,2,Stationwagen,1,,Normal,,Dry,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Saturday,6:42:00,Slight Injury,2,Other,1,,Normal,,Wet or damp,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Saturday,6:42:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Saturday,11:02:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Saturday,11:02:00,Slight Injury,2,Long lorry,1,,Normal,,Dry,Daylight,,,31-50,Unknown,,,,,,,,,,
,,,,Sunday,1:39:00,Slight Injury,2,Stationwagen,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Sunday,1:39:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,8:00:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Sunday,8:00:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Tuesday,8:45:00,Slight Injury,1,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Monday,7:11:00,Slight Injury,2,Automobile,1,,Normal,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Monday,7:11:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Monday,17:30:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Monday,17:30:00,Slight Injury,2,Pick up upto 10Q,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Monday,7:45:00,Serious Injury,2,Other,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Monday,7:45:00,Serious Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Thursday,8:05:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,8:05:00,Slight Injury,2,Lorry (11?40Q),1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Wednesday,17:39:00,Slight Injury,2,Bajaj,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,17:39:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Female,,,,,,,,,,
,,,,Tuesday,7:37:00,Slight Injury,2,Lorry (41?100Q),2,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Tuesday,7:37:00,Slight Injury,2,Lorry (11?40Q),2,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Tuesday,7:37:00,Slight Injury,2,Lorry (11?40Q),2,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Thursday,0:26:00,Slight Injury,3,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Thursday,0:26:00,Slight Injury,3,,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Female,,,,,,,,,,
,,,,Thursday,0:26:00,Slight Injury,3,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Female,,,,,,,,,,
,,,,Wednesday,11:20:00,Slight Injury,2,Public (13?45 seats),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,11:20:00,Slight Injury,2,Public (12 seats),1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Tuesday,20:37:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,20:37:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,17:00:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Tuesday,17:00:00,Slight Injury,2,Public (13?45 seats),1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Sunday,22:45:00,Slight Injury,1,Public (13?45 seats),1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Wednesday,18:15:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,12:33:00,Slight Injury,1,Other,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,8:30:00,Slight Injury,1,Pick up upto 10Q,2,,Normal,,Dry,Daylight,,,Under 18,Male,,,,,,,,,,
,,,,Thursday,8:30:00,Slight Injury,1,Lorry (41?100Q),2,,Normal,,Dry,Daylight,,,Under 18,Male,,,,,,,,,,
,,,,Thursday,10:37:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,14:20:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Thursday,16:55:00,Slight Injury,1,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,17:45:00,Slight Injury,1,,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Saturday,23:29:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Saturday,23:29:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Saturday,22:00:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Under 18,Male,,,,,,,,,,
,,,,Saturday,22:00:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Friday,10:30:00,Slight Injury,1,Automobile,1,,Normal,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Saturday,19:57:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Saturday,19:57:00,Slight Injury,2,Other,1,,Normal,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,15:00:00,Slight Injury,2,Pick up upto 10Q,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Sunday,15:00:00,Slight Injury,2,Stationwagen,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,19:15:00,Slight Injury,2,Other,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Friday,19:15:00,Slight Injury,2,Pick up upto 10Q,1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Friday,17:56:00,Slight Injury,2,Stationwagen,1,,Raining,,Wet or damp,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Friday,17:56:00,Slight Injury,2,Lorry (41?100Q),1,,Raining,,Wet or damp,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Friday,7:10:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Friday,7:10:00,Slight Injury,2,,1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,14:53:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Monday,12:40:00,Slight Injury,3,Automobile,1,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Monday,12:40:00,Slight Injury,3,Turbo,1,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Monday,12:40:00,Slight Injury,3,,1,,Normal,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Tuesday,18:16:00,Slight Injury,2,Stationwagen,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,18:16:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Over 51,Male,,,,,,,,,,
,,,,Tuesday,12:25:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Tuesday,15:45:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Tuesday,19:38:00,Slight Injury,1,Pick up upto 10Q,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Wednesday,9:30:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Wednesday,9:30:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,17:17:00,Serious Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Friday,14:30:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Friday,14:30:00,Slight Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Thursday,8:40:00,Serious Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,8:40:00,Serious Injury,2,Lorry (41?100Q),1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,12:17:00,Slight Injury,1,Automobile,2,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,12:17:00,Slight Injury,1,Automobile,2,,Normal,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Thursday,20:31:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Friday,2:00:00,Slight Injury,1,Public (13?45 seats),1,,Raining,,Wet or damp,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Saturday,13:55:00,Serious Injury,1,Automobile,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Sunday,0:25:00,Slight Injury,2,Public (13?45 seats),2,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
,,,,Sunday,0:25:00,Slight Injury,2,Public (13?45 seats),2,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,0:25:00,Slight Injury,2,Automobile,2,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Sunday,13:24:00,Slight Injury,2,Lorry (11?40Q),3,,Normal,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Sunday,13:24:00,Slight Injury,2,Automobile,3,,Normal,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Sunday,13:24:00,Slight Injury,2,Lorry (41?100Q),3,,Normal,,Wet or damp,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Sunday,14:36:00,Slight Injury,2,Other,1,,Raining,,Wet or damp,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Sunday,14:36:00,Slight Injury,2,Pick up upto 10Q,1,,Raining,,Wet or damp,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Thursday,12:10:00,Slight Injury,2,Lorry (11?40Q),2,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Thursday,12:10:00,Slight Injury,2,Motorcycle,2,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Thursday,12:10:00,Slight Injury,2,Pick up upto 10Q,2,,Normal,,Dry,Daylight,,,Unknown,Male,,,,,,,,,,
,,,,Tuesday,18:50:00,Slight Injury,1,Lorry (11?40Q),1,,Normal,,Dry,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Wednesday,6:50:00,Slight Injury,2,Lorry (11?40Q),1,,Raining,,Wet or damp,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Wednesday,6:50:00,Slight Injury,2,Automobile,1,,Raining,,Wet or damp,Darkness - lights lit,,,18-30,Male,,,,,,,,,,
,,,,Saturday,19:45:00,Serious Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Wednesday,12:00:00,Slight Injury,2,Other,1,,Normal,,Dry,Daylight,,,Over 51,Male,,,,,,,,,,
,,,,Wednesday,12:00:00,Slight Injury,2,Other,1,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Wednesday,12:37:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Wednesday,12:37:00,Slight Injury,2,Taxi,1,,Normal,,Dry,Daylight,,,18-30,Male,,,,,,,,,,
,,,,Friday,16:30:00,Slight Injury,1,Other,2,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Friday,16:30:00,Slight Injury,1,Taxi,2,,Normal,,Dry,Daylight,,,31-50,Male,,,,,,,,,,
,,,,Tuesday,18:00:00,Slight Injury,2,Lorry (11?40Q),1,,Normal,,Dry,Darkness - lights lit,,,Under 18,Male,,,,,,,,,,
,,,,Tuesday,18:00:00,Slight Injury,2,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Saturday,19:45:00,Slight Injury,1,Other,1,,Normal,,Dry,Darkness - lights lit,,,Unknown,Male,,,,,,,,,,
,,,,Friday,5:50:00,Slight Injury,1,Automobile,1,,Normal,,Dry,Darkness - lights lit,,,31-50,Male,,,,,,,,,,
